job_description,resume_name,resume_text,relevant
"Python NLP Engineer","AI Resume Expert","Python NLP Streamlit Machine Learning Sentence Transformers HuggingFace",1
"Python NLP Engineer","Marketing Manager","SEO Marketing Social Media Branding",0
"Python NLP Engineer","Business Analyst","Excel PowerBI Reporting Stakeholder Management",0
"Data Scientist","ML Engineer","Python Pandas NumPy Scikit-learn TensorFlow",1
"Data Scientist","Sales Manager","Sales CRM Customer Relations Negotiation",0
"Data Scientist","Graphic Designer","Photoshop Illustrator UI Design",0
"Backend Developer","Python Backend Developer","Python FastAPI SQL Docker Git",1
"Backend Developer","HR Manager","Recruitment Talent Acquisition Interviews",0
"Backend Developer","Content Writer","Blog Writing Copywriting SEO",0
"AI Engineer","Deep Learning Engineer","PyTorch NLP LLM Transformers Deep Learning",1
"AI Engineer","Teacher","Classroom Teaching Curriculum Planning",0
"AI Engineer","Accountant","Bookkeeping Financial Reporting Tax",0
"Data Analyst","Data Analyst","Excel SQL Power BI Python Pandas",1
"Data Analyst","Chef","Cooking Food Preparation Kitchen",0
"Data Analyst","Photographer","Photography Lightroom Editing",0
"Machine Learning Engineer","ML Researcher","Machine Learning Python TensorFlow Research",1
"Machine Learning Engineer","Receptionist","Scheduling Phone Calls Customer Service",0
"Machine Learning Engineer","Nurse","Patient Care Medical Records",0
"Software Engineer","Software Developer","Python Java Git Algorithms Databases",1
"Software Engineer","Event Planner","Events Coordination Budget Management",0
