job_description,resume_name,resume_text,relevant
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_0,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_0,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_0,Customer Service Finance Photography,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_1,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_1,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_1,Sales Photography Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_2,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_2,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_2,Customer Service Sales Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_3,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_3,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_3,Photography Finance Accounting,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_4,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_4,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_4,Accounting Finance Photography,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_5,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_5,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_5,Teaching Photography Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_6,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_6,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_6,Photography Customer Service Finance,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_7,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_7,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_7,Customer Service Sales Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_8,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_8,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_8,Sales Photography Teaching,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_9,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_9,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_9,Sales Marketing Teaching,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_10,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_10,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_10,Customer Service Finance Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_11,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Backend Developer_HARD_NEGATIVE_11,Python FastAPI Docker SQL Git,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_11,Finance Marketing Accounting,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_12,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Machine Learning Engineer_HARD_NEGATIVE_12,Python TensorFlow Machine Learning MLOps Docker,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_12,Finance Accounting Customer Service,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_13,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_13,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_13,Photography Finance Marketing,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_14,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_14,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_14,Customer Service Teaching Finance,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_15,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Scientist_HARD_NEGATIVE_15,Python Pandas NumPy Statistics Machine Learning SQL,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_15,Accounting Photography Teaching,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,AI Engineer_GOOD_16,Python Machine Learning Deep Learning PyTorch Transformers NLP,1
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,Data Analyst_HARD_NEGATIVE_16,Excel Power BI SQL Python Pandas,0
Looking for a AI Engineer with experience in Python Machine Learning Deep Learning PyTorch Transformers NLP,SOFT_NEGATIVE_16,Marketing Teaching Finance,0
